City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
470,ordzhonikidze,52.4411,61.7408,-17.69,94,15,3.46,KZ,1675204281
471,cassilandia,-19.1133,-51.7342,23.07,87,90,0.7,BR,1675204281
472,la maddalena,41.2142,9.4083,4.03,76,1,2.63,IT,1675204281
473,zigong,29.3416,104.7769,9.8,47,0,1.34,CN,1675204282
474,koindu,8.4386,-10.3253,22.43,49,3,0.59,GN,1675204282
475,nhulunbuy,-12.2333,136.7667,29.34,79,98,4.63,AU,1675204199
476,asosa,10.0667,34.5333,20.73,25,47,1.8,ET,1675204283
477,northam,51.0333,-4.2167,8.12,79,93,8.45,GB,1675204284
478,new glasgow,45.5834,-62.6486,-4.01,87,98,5.44,CA,1675204160
479,novoagansk,61.9449,76.6625,-16.77,98,91,3.32,RU,1675204284
480,flin flon,54.7682,-101.865,-23.09,59,20,2.06,CA,1675204285
481,taltal,-25.4,-70.4833,20.79,78,28,1.95,CL,1675204285
482,moerai,-22.4333,-151.3333,26.56,73,90,4.57,PF,1675204286
483,boende,-0.2167,20.8667,22.87,80,47,1.22,CD,1675204286
484,jurado,7.1053,-77.7641,26.13,78,9,0.71,CO,1675204287
485,vardo,70.3705,31.1107,0.99,75,40,10.8,NO,1675204287
486,boddam,57.4667,-1.7833,5.24,83,98,12.12,GB,1675204287
487,pochutla,15.7432,-96.4661,31.01,52,5,2.61,MX,1675204288
488,portland,45.5234,-122.6762,7.27,53,75,2.06,US,1675204288
489,mongomo,1.6274,11.3135,20.2,94,39,0.74,GQ,1675204289
490,abyek,36.0667,50.55,2.78,91,89,1.9,IR,1675204289
491,najran,17.4924,44.1277,18.36,32,19,1.23,SA,1675204289
492,tevaitoa,-16.7833,-151.5,27.2,76,81,6.86,PF,1675204290
493,jumla,29.2747,82.1838,0.17,67,3,2.52,NP,1675204290
494,los llanos de aridane,28.6585,-17.9182,13.86,71,20,3.6,ES,1675204291
495,umm lajj,25.0213,37.2685,18.16,46,22,4.7,SA,1675204291
496,hokitika,-42.7167,170.9667,18.81,86,100,1.63,NZ,1675204292
497,santa cruz,-17.8,-63.1667,23.03,88,100,2.57,BO,1675204197
498,dezful,32.3811,48.4058,12.2,93,90,1.59,IR,1675204292
499,puri,19.8,85.85,21.29,67,98,3.59,IN,1675204292
500,bandarbeyla,9.4942,50.8122,23.69,72,35,7.04,SO,1675204293
501,sitka,57.0531,-135.33,5.94,75,100,0.0,US,1675204165
502,yushala,57.0761,64.2601,-5.42,90,88,3.17,RU,1675204293
503,mareeba,-17.0,145.4333,24.4,97,100,1.11,AU,1675204294
504,louis trichardt,-23.0439,29.9032,19.21,81,17,2.38,ZA,1675204295
505,ocos,14.5094,-92.1933,31.1,57,5,3.37,GT,1675204295
